Filename                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bridge\src\app_config.rs                                                                 168                55    67.26%          14                 3    78.57%         133                36    72.93%           0                 0         -
bridge\src\app_dirs.rs                                                                    15                15     0.00%           5                 5     0.00%          13                13     0.00%           0                 0         -
bridge\src\cli.rs                                                                        292               175    40.07%           8                 4    50.00%         173               116    32.95%           0                 0         -
bridge\src\client_handler.rs                                                            1031               949     7.95%          22                16    27.27%         561               513     8.56%           0                 0         -
bridge\src\default_client.rs                                                             474               267    43.67%          33                25    24.24%         271               134    50.55%           0                 0         -
bridge\src\errors.rs                                                                      17                 0   100.00%           2                 0   100.00%          14                 0   100.00%           0                 0         -
bridge\src\hasher.rs                                                                     543               450    17.13%          20                11    45.00%         277               215    22.38%           0                 0         -
bridge\src\health_check.rs                                                                30                30     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
bridge\src\inprocess_node.rs                                                              29                 0   100.00%           5                 0   100.00%          18                 0   100.00%           0                 0         -
bridge\src\jsonrpc_event.rs                                                              118                 6    94.92%          13                 0   100.00%          74                 4    94.59%           0                 0         -
bridge\src\log_colors.rs                                                                  88                88     0.00%          15                15     0.00%          61                61     0.00%           0                 0         -
bridge\src\main.rs                                                                       543               543     0.00%          33                33     0.00%         336               336     0.00%           0                 0         -
bridge\src\mining_state.rs                                                               122                13    89.34%          20                 3    85.00%          87                10    88.51%           0                 0         -
bridge\src\net_utils.rs                                                                   32                 0   100.00%           3                 0   100.00%          19                 0   100.00%           0                 0         -
bridge\src\pow_diagnostic.rs                                                             192               192     0.00%           1                 1     0.00%          89                89     0.00%           0                 0         -
bridge\src\prom.rs                                                                      1771              1215    31.39%         115                83    27.83%         948               649    31.54%           0                 0         -
bridge\src\share_handler.rs                                                             1842              1694     8.03%          63                54    14.29%         976               891     8.71%           0                 0         -
bridge\src\sophisapi.rs                                                                 1026               813    20.76%          52                40    23.08%         565               447    20.88%           0                 0         -
bridge\src\stratum_context.rs                                                            821               644    21.56%          40                28    30.00%         427               303    29.04%           0                 0         -
bridge\src\stratum_listener.rs                                                          1014               948     6.51%          19                13    31.58%         548               501     8.58%           0                 0         -
bridge\src\stratum_server.rs                                                             355               209    41.13%          25                20    20.00%         199               116    41.71%           0                 0         -
bridge\src\tracing_setup.rs                                                              472               472     0.00%           5                 5     0.00%         221               221     0.00%           0                 0         -
components\addressmanager\src\lib.rs                                                     622               383    38.42%          46                22    52.17%         356               226    36.52%           0                 0         -
components\addressmanager\src\port_mapping_extender.rs                                    61                61     0.00%          10                10     0.00%          54                54     0.00%           0                 0         -
components\addressmanager\src\stores\address_store.rs                                    109                96    11.93%          11                 9    18.18%          48                42    12.50%           0                 0         -
components\addressmanager\src\stores\banned_address_store.rs                              88                20    77.27%          11                 2    81.82%          45                11    75.56%           0                 0         -
components\addressmanager\src\stores\mod.rs                                               20                20     0.00%           3                 3     0.00%          15                15     0.00%           0                 0         -
components\connectionmanager\src\lib.rs                                                  421               160    62.00%          38                12    68.42%         235                80    65.96%           0                 0         -
components\consensusmanager\src\batch.rs                                                  22                11    50.00%           4                 2    50.00%          12                 6    50.00%           0                 0         -
components\consensusmanager\src\lib.rs                                                   149                28    81.21%          24                 8    66.67%         101                26    74.26%           0                 0         -
components\consensusmanager\src\session.rs                                               801               396    50.56%         237               115    51.48%         492               241    51.02%           0                 0         -
consensus\client\src\error.rs                                                             35                35     0.00%           9                 9     0.00%          29                29     0.00%           0                 0         -
consensus\client\src\input.rs                                                            173               173     0.00%          27                27     0.00%         115               115     0.00%           0                 0         -
consensus\client\src\outpoint.rs                                                         131               131     0.00%          17                17     0.00%          74                74     0.00%           0                 0         -
consensus\client\src\output.rs                                                            86                86     0.00%          15                15     0.00%          52                52     0.00%           0                 0         -
consensus\client\src\serializable\numeric.rs                                             315               315     0.00%          24                24     0.00%         210               210     0.00%           0                 0         -
consensus\client\src\serializable\string.rs                                              351               351     0.00%          24                24     0.00%         209               209     0.00%           0                 0         -
consensus\client\src\transaction.rs                                                      543               543     0.00%          62                62     0.00%         323               323     0.00%           0                 0         -
consensus\client\src\utxo.rs                                                             436               436     0.00%          61                61     0.00%         236               236     0.00%           0                 0         -
consensus\core\src\alt\codec.rs                                                          298                 8    97.32%          18                 0   100.00%         135                 4    97.04%           0                 0         -
consensus\core\src\alt\mod.rs                                                            656                54    91.77%          34                 1    97.06%         360                32    91.11%           0                 0         -
consensus\core\src\alt\store_types.rs                                                    168                46    72.62%          34                18    47.06%         120                37    69.17%           0                 0         -
consensus\core\src\api\args.rs                                                            25                19    24.00%           6                 4    33.33%          19                13    31.58%           0                 0         -
consensus\core\src\api\counters.rs                                                        68                34    50.00%           2                 1    50.00%          30                15    50.00%           0                 0         -
consensus\core\src\api\mod.rs                                                            187               187     0.00%          90                90     0.00%         227               227     0.00%           0                 0         -
consensus\core\src\api\stats.rs                                                           33                 9    72.73%           3                 1    66.67%          15                 3    80.00%           0                 0         -
consensus\core\src\block.rs                                                               71                 4    94.37%          15                 1    93.33%          64                 3    95.31%           0                 0         -
consensus\core\src\blockhash.rs                                                           47                16    65.96%           9                 3    66.67%          28                 8    71.43%           0                 0         -
consensus\core\src\blockstatus.rs                                                         21                 5    76.19%           6                 1    83.33%          19                 4    78.95%           0                 0         -
consensus\core\src\coinbase.rs                                                             7                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
consensus\core\src\commitment.rs                                                         102                 0   100.00%          13                 0   100.00%          72                 0   100.00%           0                 0         -
consensus\core\src\config\bps.rs                                                         125               104    16.80%          16                14    12.50%          82                68    17.07%           0                 0         -
consensus\core\src\config\constants.rs                                                    12                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
consensus\core\src\config\genesis.rs                                                      91                20    78.02%           9                 1    88.89%          60                16    73.33%           0                 0         -
consensus\core\src\config\mod.rs                                                          61                11    81.97%          15                 3    80.00%          77                11    85.71%           0                 0         -
consensus\core\src\config\params.rs                                                      296               178    39.86%          44                13    70.45%         251               137    45.42%           0                 0         -
consensus\core\src\da\codec.rs                                                           728                46    93.68%          37                 1    97.30%         348                24    93.10%           0                 0         -
consensus\core\src\da\mod.rs                                                             523                68    87.00%          31                 1    96.77%         303                38    87.46%           0                 0         -
consensus\core\src\da\store_types.rs                                                     230                56    75.65%          28                14    50.00%         146                38    73.97%           0                 0         -
consensus\core\src\daa_score_timestamp.rs                                                  6                 6     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
consensus\core\src\errors\block.rs                                                        30                30     0.00%           5                 5     0.00%          13                13     0.00%           0                 0         -
consensus\core\src\events\codec.rs                                                       355                16    95.49%          20                 0   100.00%         177                 8    95.48%           0                 0         -
consensus\core\src\events\mod.rs                                                          77                24    68.83%           8                 1    87.50%          52                13    75.00%           0                 0         -
consensus\core\src\events\store_types.rs                                                 166                57    65.66%          31                21    32.26%         106                44    58.49%           0                 0         -
consensus\core\src\hashing\header.rs                                                      82                 0   100.00%           5                 0   100.00%          43                 0   100.00%           0                 0         -
consensus\core\src\hashing\mod.rs                                                         65                 0   100.00%          10                 0   100.00%          34                 0   100.00%           0                 0         -
consensus\core\src\hashing\sighash.rs                                                    474                54    88.61%          37                 8    78.38%         554                37    93.32%           0                 0         -
consensus\core\src\hashing\sighash_type.rs                                                25                 4    84.00%           7                 1    85.71%          24                 4    83.33%           0                 0         -
consensus\core\src\hashing\tx.rs                                                         205                 2    99.02%           8                 0   100.00%         108                 0   100.00%           0                 0         -
consensus\core\src\header.rs                                                             507                27    94.67%          41                 6    85.37%         254                20    92.13%           0                 0         -
consensus\core\src\lib.rs                                                                 45                 2    95.56%          10                 1    90.00%          32                 2    93.75%           0                 0         -
consensus\core\src\mass\mod.rs                                                           561                32    94.30%          44                 5    88.64%         381                25    93.44%           0                 0         -
consensus\core\src\merkle.rs                                                              83                 7    91.57%           5                 1    80.00%         153                 5    96.73%           0                 0         -
consensus\core\src\mining_rules.rs                                                         6                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
consensus\core\src\muhash.rs                                                              82                 0   100.00%           5                 0   100.00%          40                 0   100.00%           0                 0         -
consensus\core\src\network.rs                                                            319               123    61.44%          48                25    47.92%         228                97    57.46%           0                 0         -
consensus\core\src\pruning.rs                                                              3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
consensus\core\src\sign.rs                                                                52                52     0.00%           1                 1     0.00%          22                22     0.00%           0                 0         -
consensus\core\src\subnets.rs                                                             94                38    59.57%          16                 6    62.50%          55                17    69.09%           0                 0         -
consensus\core\src\trusted.rs                                                              9                 9     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
consensus\core\src\tx.rs                                                                 488                78    84.02%          84                19    77.38%         383                54    85.90%           0                 0         -
consensus\core\src\tx\script_public_key.rs                                               317               152    52.05%          28                13    53.57%         170                88    48.24%           0                 0         -
consensus\core\src\utxo\utxo_collection.rs                                               129                28    78.29%           9                 2    77.78%          73                14    80.82%           0                 0         -
consensus\core\src\utxo\utxo_diff.rs                                                     757                 8    98.94%          27                 0   100.00%         395                 4    98.99%           0                 0         -
consensus\core\src\utxo\utxo_error.rs                                                     21                 7    66.67%           1                 0   100.00%          10                 3    70.00%           0                 0         -
consensus\core\src\utxo\utxo_view.rs                                                      28                 1    96.43%           4                 0   100.00%          18                 1    94.44%           0                 0         -
consensus\notify\src\notification.rs                                                      49                 8    83.67%          11                 2    81.82%          58                 8    86.21%           0                 0         -
consensus\notify\src\service.rs                                                           70                 3    95.71%           8                 0   100.00%          49                 3    93.88%           0                 0         -
consensus\pow\src\lib.rs                                                                 217               100    53.92%          13                 5    61.54%          97                46    52.58%           0                 0         -
consensus\pow\src\matrix.rs                                                              335                 2    99.40%          18                 0   100.00%         257                 2    99.22%           0                 0         -
consensus\pow\src\xoshiro.rs                                                              22                 0   100.00%           2                 0   100.00%          15                 0   100.00%           0                 0         -
consensus\src\consensus\cache_policy_builder.rs                                          108                 6    94.44%          13                 1    92.31%          90                 5    94.44%           0                 0         -
consensus\src\consensus\ctl.rs                                                            31                10    67.74%           7                 3    57.14%          26                 8    69.23%           0                 0         -
consensus\src\consensus\factory.rs                                                       496               103    79.23%          33                 6    81.82%         298                58    80.54%           0                 0         -
consensus\src\consensus\mod.rs                                                          1871               874    53.29%         149                67    55.03%        1021               470    53.97%           0                 0         -
consensus\src\consensus\services.rs                                                      211                 3    98.58%           1                 0   100.00%         136                 3    97.79%           0                 0         -
consensus\src\consensus\storage.rs                                                       432                 0   100.00%           2                 0   100.00%         157                 0   100.00%           0                 0         -
consensus\src\consensus\test_consensus.rs                                                314               110    64.97%          37                15    59.46%         195                68    65.13%           0                 0         -
consensus\src\model\services\reachability.rs                                             362                34    90.61%          29                 5    82.76%         146                16    89.04%           0                 0         -
consensus\src\model\services\relations.rs                                                 18                 7    61.11%           5                 2    60.00%          15                 6    60.00%           0                 0         -
consensus\src\model\services\statuses.rs                                                  11                 8    27.27%           3                 2    33.33%           9                 6    33.33%           0                 0         -
consensus\src\model\stores\acceptance_data.rs                                             77                33    57.14%           9                 3    66.67%          36                14    61.11%           0                 0         -
consensus\src\model\stores\alt.rs                                                        560                22    96.07%          23                 1    95.65%         196                 7    96.43%           0                 0         -
consensus\src\model\stores\block_filters.rs                                              245                20    91.84%          21                 5    76.19%         101                 9    91.09%           0                 0         -
consensus\src\model\stores\block_transactions.rs                                          85                37    56.47%          10                 4    60.00%          41                17    58.54%           0                 0         -
consensus\src\model\stores\block_window_cache.rs                                          43                 0   100.00%          11                 0   100.00%          31                 0   100.00%           0                 0         -
consensus\src\model\stores\children.rs                                                    68                11    83.82%           8                 1    87.50%          35                 4    88.57%           0                 0         -
consensus\src\model\stores\da.rs                                                         511                44    91.39%          23                 3    86.96%         210                19    90.95%           0                 0         -
consensus\src\model\stores\daa.rs                                                         65                32    50.77%           7                 3    57.14%          29                14    51.72%           0                 0         -
consensus\src\model\stores\depth.rs                                                       72                34    52.78%           8                 3    62.50%          38                14    63.16%           0                 0         -
consensus\src\model\stores\events.rs                                                     723                53    92.67%          30                 3    90.00%         274                22    91.97%           0                 0         -
consensus\src\model\stores\ghostdag.rs                                                   698               148    78.80%          58                14    75.86%         373                81    78.28%           0                 0         -
consensus\src\model\stores\headers.rs                                                    215               104    51.63%          17                 4    76.47%         119                53    55.46%           0                 0         -
consensus\src\model\stores\headers_selected_tip.rs                                        30                12    60.00%           5                 2    60.00%          15                 6    60.00%           0                 0         -
consensus\src\model\stores\max_chain_work_seen.rs                                        170                 8    95.29%           8                 1    87.50%          66                 5    92.42%           0                 0         -
consensus\src\model\stores\mod.rs                                                         12                 6    50.00%           3                 1    66.67%           9                 3    66.67%           0                 0         -
consensus\src\model\stores\past_pruning_points.rs                                         62                33    46.77%           6                 3    50.00%          26                14    46.15%           0                 0         -
consensus\src\model\stores\pruning.rs                                                    124                36    70.97%          18                 4    77.78%          64                16    75.00%           0                 0         -
consensus\src\model\stores\pruning_meta.rs                                                70                 0   100.00%           9                 0   100.00%          32                 0   100.00%           0                 0         -
consensus\src\model\stores\pruning_samples.rs                                             65                26    60.00%           7                 2    71.43%          29                10    65.52%           0                 0         -
consensus\src\model\stores\reachability.rs                                              1052               123    88.31%          86                 4    95.35%         522                44    91.57%           0                 0         -
consensus\src\model\stores\relations.rs                                                  602                38    93.69%          46                 2    95.65%         278                14    94.96%           0                 0         -
consensus\src\model\stores\selected_chain.rs                                             165                15    90.91%           8                 1    87.50%          59                 4    93.22%           0                 0         -
consensus\src\model\stores\statuses.rs                                                    66                19    71.21%           9                 3    66.67%          34                 9    73.53%           0                 0         -
consensus\src\model\stores\tips.rs                                                       129                45    65.12%          12                 4    66.67%          59                17    71.19%           0                 0         -
consensus\src\model\stores\utxo_diffs.rs                                                  65                32    50.77%           7                 3    57.14%          29                14    51.72%           0                 0         -
consensus\src\model\stores\utxo_multisets.rs                                              72                32    55.56%           8                 3    62.50%          32                14    56.25%           0                 0         -
consensus\src\model\stores\utxo_set.rs                                                   273                32    88.28%          28                 3    89.29%         111                12    89.19%           0                 0         -
consensus\src\model\stores\virtual_state.rs                                              124                18    85.48%          16                 3    81.25%          92                12    86.96%           0                 0         -
consensus\src\pipeline\body_processor\body_validation_in_context.rs                      330                11    96.67%          13                 0   100.00%         193                 7    96.37%           0                 0         -
consensus\src\pipeline\body_processor\body_validation_in_isolation.rs                    394                17    95.69%          13                 0   100.00%         303                 7    97.69%           0                 0         -
consensus\src\pipeline\body_processor\processor.rs                                       230                19    91.74%          10                 1    90.00%         126                10    92.06%           0                 0         -
consensus\src\pipeline\deps_manager.rs                                                   223                35    84.30%          22                 3    86.36%         129                19    85.27%           0                 0         -
consensus\src\pipeline\header_processor\post_pow_validation.rs                           145                 8    94.48%           8                 0   100.00%          77                 7    90.91%           0                 0         -
consensus\src\pipeline\header_processor\pre_ghostdag_validation.rs                       123                 4    96.75%          10                 0   100.00%          71                 2    97.18%           0                 0         -
consensus\src\pipeline\header_processor\pre_pow_validation.rs                             51                 7    86.27%           3                 0   100.00%          26                 3    88.46%           0                 0         -
consensus\src\pipeline\header_processor\processor.rs                                     525                64    87.81%          20                 2    90.00%         270                21    92.22%           0                 0         -
consensus\src\pipeline\monitor.rs                                                         72                34    52.78%           9                 1    88.89%          52                22    57.69%           0                 0         -
consensus\src\pipeline\pruning_processor\processor.rs                                    807                87    89.22%          35                 3    91.43%         414                44    89.37%           0                 0         -
consensus\src\pipeline\virtual_processor\processor.rs                                   2106               322    84.71%          74                15    79.73%        1115               176    84.22%           0                 0         -
consensus\src\pipeline\virtual_processor\test_block_builder.rs                            68                 2    97.06%           3                 0   100.00%          35                 0   100.00%           0                 0         -
consensus\src\pipeline\virtual_processor\utxo_inquirer.rs                                507               388    23.47%          34                27    20.59%         298               211    29.19%           0                 0         -
consensus\src\pipeline\virtual_processor\utxo_validation.rs                              504                90    82.14%          34                 3    91.18%         332                46    86.14%           0                 0         -
consensus\src\processes\block_depth.rs                                                    82                 4    95.12%           6                 0   100.00%          68                 4    94.12%           0                 0         -
consensus\src\processes\coinbase.rs                                                      586               128    78.16%          29                 3    89.66%         370                84    77.30%           0                 0         -
consensus\src\processes\difficulty.rs                                                    329                85    74.16%          27                 5    81.48%         185                46    75.14%           0                 0         -
consensus\src\processes\ghostdag\mergeset.rs                                              67                 0   100.00%           4                 0   100.00%          30                 0   100.00%           0                 0         -
consensus\src\processes\ghostdag\ordering.rs                                              34                 3    91.18%           7                 1    85.71%          20                 3    85.00%           0                 0         -
consensus\src\processes\ghostdag\protocol.rs                                             215                 4    98.14%          11                 0   100.00%         146                 3    97.95%           0                 0         -
consensus\src\processes\parents_builder.rs                                               603                18    97.01%          41                 8    80.49%         436                19    95.64%           0                 0         -
consensus\src\processes\past_median_time.rs                                               32                 0   100.00%           3                 0   100.00%          18                 0   100.00%           0                 0         -
consensus\src\processes\pruning.rs                                                       264                15    94.32%          11                 0   100.00%         165                13    92.12%           0                 0         -
consensus\src\processes\pruning_proof\apply.rs                                           322               322     0.00%          10                10     0.00%         137               137     0.00%           0                 0         -
consensus\src\processes\pruning_proof\build.rs                                           730                70    90.41%          36                 6    83.33%         352                32    90.91%           0                 0         -
consensus\src\processes\pruning_proof\mod.rs                                             411               103    74.94%          17                 6    64.71%         219                49    77.63%           0                 0         -
consensus\src\processes\pruning_proof\validate.rs                                        450               450     0.00%          17                17     0.00%         251               251     0.00%           0                 0         -
consensus\src\processes\reachability\extensions.rs                                        49                 8    83.67%           3                 0   100.00%          19                 1    94.74%           0                 0         -
consensus\src\processes\reachability\inquirer.rs                                         799                45    94.37%          27                 0   100.00%         322                 8    97.52%           0                 0         -
consensus\src\processes\reachability\interval.rs                                         364                 4    98.90%          27                 1    96.30%         199                 3    98.49%           0                 0         -
consensus\src\processes\reachability\mod.rs                                               16                 8    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
consensus\src\processes\reachability\reindex.rs                                          726               125    82.78%          24                 0   100.00%         309                30    90.29%           0                 0         -
consensus\src\processes\reachability\tree.rs                                             160                42    73.75%           4                 1    75.00%          75                12    84.00%           0                 0         -
consensus\src\processes\relations.rs                                                     359                20    94.43%          12                 0   100.00%         130                 3    97.69%           0                 0         -
consensus\src\processes\sync\mod.rs                                                      248               189    23.79%          12                 8    33.33%         144               101    29.86%           0                 0         -
consensus\src\processes\transaction_validator\mod.rs                                      64                 1    98.44%           8                 0   100.00%          79                 0   100.00%           0                 0         -
consensus\src\processes\transaction_validator\tx_validation_in_header_context.rs          45                 2    95.56%           4                 0   100.00%          36                 2    94.44%           0                 0         -
consensus\src\processes\transaction_validator\tx_validation_in_isolation.rs             1172                79    93.26%          70                 7    90.00%         633                42    93.36%           0                 0         -
consensus\src\processes\transaction_validator\tx_validation_in_utxo_context.rs           827               160    80.65%          54                15    72.22%         456                69    84.87%           0                 0         -
consensus\src\processes\traversal_manager.rs                                             139                42    69.78%           6                 2    66.67%          96                29    69.79%           0                 0         -
